2026-06-07 15:03:47 [http-nio-8085-exec-3] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=PrometheusTargetDown, severity=critical}, annotations={description=One or more monitored services are not responding, runbook_url=http://localhost:3001/alerts, summary=1 Prometheus target(s) are down}, startsAt=2026-06-07T14:53:39.839Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=count%28up+%3D%3D+0%29+%3E+0&g0.tab=1, fingerprint=02399326d2297fbd}
2026-06-07 15:03:47 [http-nio-8085-exec-3] INFO  c.r.serviceregistryapi.AlertService - Processed alert: PrometheusTargetDown - firing
2026-06-07 15:08:27 [http-nio-8085-exec-8] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 15:08:27 [http-nio-8085-exec-8] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=ServiceDown, instance=job:8082, job=job, service=job, severity=critical}, annotations={description=Service job (instance: job:8082) has been down for more than 30 seconds, runbook_url=http://localhost:3001/alerts, summary=Service job is DOWN}, startsAt=2026-06-07T14:53:09.839Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=up+%3D%3D+0&g0.tab=1, fingerprint=d4e60b5e2e7bc65b}
2026-06-07 15:08:27 [http-nio-8085-exec-8] INFO  c.r.serviceregistryapi.AlertService - Processed alert: ServiceDown - firing
2026-06-07 15:08:57 [http-nio-8085-exec-7] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 15:08:57 [http-nio-8085-exec-7] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=PrometheusTargetDown, severity=critical}, annotations={description=One or more monitored services are not responding, runbook_url=http://localhost:3001/alerts, summary=1 Prometheus target(s) are down}, startsAt=2026-06-07T14:53:39.839Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=count%28up+%3D%3D+0%29+%3E+0&g0.tab=1, fingerprint=02399326d2297fbd}
2026-06-07 15:08:57 [http-nio-8085-exec-7] INFO  c.r.serviceregistryapi.AlertService - Processed alert: PrometheusTargetDown - firing
2026-06-07 15:13:37 [http-nio-8085-exec-2] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 15:13:37 [http-nio-8085-exec-2] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=ServiceDown, instance=job:8082, job=job, service=job, severity=critical}, annotations={description=Service job (instance: job:8082) has been down for more than 30 seconds, runbook_url=http://localhost:3001/alerts, summary=Service job is DOWN}, startsAt=2026-06-07T14:53:09.839Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=up+%3D%3D+0&g0.tab=1, fingerprint=d4e60b5e2e7bc65b}
2026-06-07 15:13:37 [http-nio-8085-exec-2] INFO  c.r.serviceregistryapi.AlertService - Processed alert: ServiceDown - firing
2026-06-07 15:13:57 [http-nio-8085-exec-9] INFO  c.r.s.AlertController - Received alert webhook from Alertmanager
2026-06-07 15:13:57 [http-nio-8085-exec-9] INFO  c.r.serviceregistryapi.AlertService - Processing alert: {status=firing, labels={alertname=PrometheusTargetDown, severity=critical}, annotations={description=One or more monitored services are not responding, runbook_url=http://localhost:3001/alerts, summary=1 Prometheus target(s) are down}, startsAt=2026-06-07T14:53:39.839Z, endsAt=0001-01-01T00:00:00Z, generatorURL=http://1ca0b3091e9d:9090/graph?g0.expr=count%28up+%3D%3D+0%29+%3E+0&g0.tab=1, fingerprint=02399326d2297fbd}
2026-06-07 15:13:57 [http-nio-8085-exec-9] INFO  c.r.serviceregistryapi.AlertService - Processed alert: PrometheusTargetDown - firing
